Country,Year,ED,Expenditure,Irate,Population,Tax,Trade,total_GDP,First_sector_GDP,Second_sector_GDP,Third_sector_GDP,total_Investment,First_sector_Inv,Second_sector_Inv,Third_sector_Inv
Austria,1984,,,,7559635.0,,,,,,,,,,
Austria,1985,,,,7563233.0,,,,,,,,,,
Austria,1986,,,,7566736.0,,,,,,,,,,
Austria,1987,,,,7572852.0,,,,,,,,,,
Austria,1988,,,,7576319.0,,,,,,,,,,
Austria,1989,,,,7594315.0,,,,,,,,,,
Austria,1990,820418.028,,,7644818.0,,,,,,,,,,
Austria,1991,879512.897,,,7710882.0,,,,,,,,,,
Austria,1992,858893.689,,,7798899.0,,,,,,,,,,
Austria,1993,871391.502,,,7882519.0,,,,,,,,,,
Austria,1994,849432.583,,6.8167,7928746.0,,,,,,,,,,
Austria,1995,882550.058,56.0,7.1067,7943489.0,43.1,-2194.4,231756.6,3953.6,72896.2,154906.8,67618.7,2359.8,14795.0,50463.9
Austria,1996,961798.352,56.0,5.1067,7953067.0,44.6,-2963.7,235826.5,3979.3,73911.9,157935.30000000002,69879.6,2571.1,15755.7,51552.8
Austria,1997,950097.615,52.7,4.4192,7964966.0,45.3,-1524.5,240967.9,4124.6,74842.4,162000.9,70218.7,2852.5,16539.6,50826.6
Austria,1998,971582.69,52.6,3.9058,7971116.0,45.3,-439.0,250077.0,4287.4,77009.9,168779.7,72571.0,2600.7000000000003,16308.9,53661.4
Austria,1999,980833.824,52.4,3.1833,7982461.0,44.9,925.4,258770.3,4537.4,79377.6,174855.3,73594.6,2659.9,15944.8,54989.90000000001
Austria,2000,987164.955,51.4,4.789,8002186.0,44.1,2845.3,268143.7,4288.8,82179.7,181675.2,77639.8,2489.2,17133.8,58016.8
Austria,2001,1045151.63,51.8,4.0862,8020946.0,45.6,3745.5,272130.2,4360.1,83254.5,184515.60000000003,76857.9,2555.2,17647.9,56654.8
Austria,2002,1052795.994,51.6,3.4926,8063640.0,44.5,8367.9,275896.4,4328.3,82526.7,189041.4,74417.5,2402.5,16343.999999999998,55671.0
Austria,2003,1112017.485,51.8,2.3339,8100273.0,44.1,6384.2,279512.6,4174.8,84654.7,190683.1,77338.7,2348.0,16962.0,58028.7
Austria,2004,1122335.017,54.3,2.2746,8142573.0,43.6,7130.1,287158.8,4794.1,87255.40000000001,195109.3,78226.6,2382.4,16461.600000000002,59382.600000000006
Austria,2005,1144773.822,51.7,2.3328,8201359.0,42.4,8144.9,294226.0,4783.7,89228.4,200213.9,78531.7,2517.0,17136.3,58878.4
Austria,2006,1162648.966,50.9,3.436,8254298.0,41.8,9628.4,304670.0,4705.5,91911.0,208053.5,79579.0,2402.6,18571.6,58604.79999999999
Austria,2007,1136167.104,49.7,4.45,8282984.0,41.9,12462.3,316468.9,5124.6,96031.5,215312.80000000005,83163.1,2717.7,18604.0,61841.40000000001
Austria,2008,1137348.097,50.4,4.826,8307989.0,42.6,12996.1,321824.3,5616.5,96307.9,219899.9,84635.5,2962.8,17910.9,63761.8
Austria,2009,1110439.188,54.6,1.6103,8335003.0,42.3,9657.0,308937.2,5136.7,86146.7,217653.8,78665.9,2857.0,16425.800000000003,59383.09999999999
Austria,2010,1162629.541,53.4,1.3533,8351643.0,42.2,10359.6,314719.0,4893.299999999999,88347.3,221478.4,76720.8,2828.2,16199.0,57693.600000000006
Austria,2011,1120464.134,51.3,2.0078,8375164.0,42.3,8656.6,324965.9,5671.4,90851.5,228443.0,81666.5,2907.3,17878.0,60881.2
Austria,2012,1132741.583,51.8,1.1142,8408121.0,43.0,8896.8,326435.9,5330.6,92119.7,228985.60000000003,82708.1,2877.3,19946.2,59884.600000000006
Austria,2013,1156661.738,52.4,0.536,8451860.0,44.0,8975.0,326010.5,5038.1,92614.5,228357.9,83733.9,2909.5,20494.4,60329.99999999999
Austria,2014,1115472.117,52.4,0.4751,8507786.0,44.1,10615.0,328437.4,5305.2,92702.1,230430.1,83462.1,2566.7,19554.2,61341.20000000001
