Country,Year,ED
Slovakia,2016,455765.934
Slovakia,2017,488701.312
Slovakia,2018,488909.791
Slovakia,2019,471885.425
Slovakia,2020,452914.592
Slovakia,2021,494354.297
Slovakia,2022,463183.111
Slovakia,2023,432558.307
Slovenia,1990,155892.581
Slovenia,1991,157096.321
Slovenia,1992,143090.535
Slovenia,1993,153277.305
Slovenia,1994,162513.278
Slovenia,1995,176076.8
Slovenia,1996,190208.631
Slovenia,1997,195485.998
Slovenia,1998,189633.227
Slovenia,1999,197918.945
Slovenia,2000,200537.787
Slovenia,2001,211743.659
Slovenia,2002,204740.501
Slovenia,2003,213945.759
Slovenia,2004,220497.848
Slovenia,2005,227883.969
Slovenia,2006,227673.309
Slovenia,2007,228473.341
Slovenia,2008,241969.4
Slovenia,2009,213336.871
Slovenia,2010,220881.308
Slovenia,2011,216438.175
Slovenia,2012,210972.068
Slovenia,2013,206432.369
Slovenia,2014,198646.309
Slovenia,2015,203124.654
Slovenia,2016,211071.096
Slovenia,2017,214254.322
Slovenia,2018,215374.388
Slovenia,2019,211849.773
Slovenia,2020,192729.874
Slovenia,2021,206496.613
Slovenia,2022,203966.333
Slovenia,2023,193281.878
Spain,1990,2549875.311
Spain,1991,2681489.733
Spain,1992,2668518.369
Spain,1993,2656498.322
Spain,1994,2808965.849
Spain,1995,2922285.8
Spain,1996,2888560.813
Spain,1997,3105344.967
Spain,1998,3299970.676
Spain,1999,3382990.952
Spain,2000,3575497.814
Spain,2001,3760070.431
Spain,2002,3792498.437
Spain,2003,3992203.171
Spain,2004,4166416.655
Spain,2005,4262296.079
Spain,2006,4159102.901
Spain,2007,4264445.815
Spain,2008,4117655.159
Spain,2009,3822101.542
Spain,2010,3828776.285
Spain,2011,3729576.049
Spain,2012,3560448.556
Spain,2013,3376094.055
Spain,2014,3240908.966
Spain,2015,3337424.726
Spain,2016,3439499.168
Spain,2017,3606389.423
Spain,2018,3683024.083
Spain,2019,3641677.147
Spain,2020,3288511.875
Spain,2021,3542616.185
Spain,2022,3472923.261
Spain,2023,3443773.026
Sweden,1990,1317228.239
Sweden,1991,1345061.461
Sweden,1992,1441160.22
Sweden,1993,1422579.109
Sweden,1994,1429250.185
Sweden,1995,1483568.456
Sweden,1996,1478183.324
Sweden,1997,1477167.468
Sweden,1998,1481486.079
Sweden,1999,1473562.242
Sweden,2000,1461520.37
Sweden,2001,1442051.231
Sweden,2002,1477891.44
Sweden,2003,1405782.833
Sweden,2004,1407727.676
Sweden,2005,1396729.744
Sweden,2006,1370585.467
Sweden,2007,1368187.194
Sweden,2008,1373766.961
Sweden,2009,1315873.897
Sweden,2010,1471648.013
Sweden,2011,1496551.33
Sweden,2012,1459643.512
Sweden,2013,1429694.734
Sweden,2014,1397342.97
Sweden,2015,1335040.762
Sweden,2016,1420410.201
Sweden,2017,1458824.55
Sweden,2018,1472934.84
Sweden,2019,1408629.047
Sweden,2020,1370372.2
Sweden,2021,1434823.565
Sweden,2022,1358040.799
Sweden,2023,1391635.276
Türkiye,1990,1677435.035
Türkiye,1991,1738641.962
Türkiye,1992,1787315.623
Türkiye,1993,1921018.523
Türkiye,1994,1813196.178
Türkiye,1995,1995508.612
Türkiye,1996,2181854.251
Türkiye,1997,2276577.211
Türkiye,1998,2257751.985
Türkiye,1999,2181735.692
Türkiye,2000,2461880.241
Türkiye,2001,2204244.381
Türkiye,2002,2409044.089
Türkiye,2003,2548441.281
Türkiye,2004,2658237.449
Türkiye,2005,2758553.591
Türkiye,2006,3044707.489
Türkiye,2007,3215540.322
Türkiye,2008,3055130.29
Türkiye,2009,3042070.096
Türkiye,2010,3271781.799
Türkiye,2011,3505176.951
Türkiye,2012,3687650.754
Türkiye,2013,3557890.206
Türkiye,2014,3618524.488
Türkiye,2015,3939908.598
Türkiye,2016,4134520.103
Türkiye,2017,4432223.826
Türkiye,2018,4338104.049
Türkiye,2019,4398183.45
Türkiye,2020,4478661.872
Türkiye,2021,4850381.695
Türkiye,2022,4723199.742
Türkiye,2023,4877366.561
Ukraine,1990,6182916.754
Ukraine,1991,6483941.558
Ukraine,1992,5630197.647
Ukraine,1993,4651563.769
Ukraine,1994,3967008.426
Ukraine,1995,3863145.308
Ukraine,1996,3705369.171
Ukraine,1997,3537489.396
Ukraine,1998,3220265.432
Ukraine,1999,3171812.733
Ukraine,2000,3036864.825
Ukraine,2001,3103736.59
Ukraine,2002,3143920.514
Ukraine,2003,2961280.803
Ukraine,2004,3285917.999
Ukraine,2005,3471545.319
Ukraine,2006,3327775.107
Ukraine,2007,3555654.552
Ukraine,2008,3483258.143
Ukraine,2009,2856969.864
Ukraine,2010,3497500.456
Ukraine,2011,3141460.229
Ukraine,2012,2990886.928
Ukraine,2013,2822837.309
Ukraine,2014,2624670.269
Ukraine,2015,2155699.392
Ukraine,2016,2205904.963
Ukraine,2017,2160715.969
Ukraine,2018,2212285.614
Ukraine,2019,2095942.875
Ukraine,2020,2048093.365
Ukraine,2021,:
Ukraine,2022,:
Ukraine,2023,:
United Kingdom,1990,5739635.909
United Kingdom,1991,6040909.676
United Kingdom,1992,5974458.67
United Kingdom,1993,6087923.99
United Kingdom,1994,6203366.279
United Kingdom,1995,6113053.612
United Kingdom,1996,6387301.085
United Kingdom,1997,6167752.164
United Kingdom,1998,6231496.211
United Kingdom,1999,6280754.07
United Kingdom,2000,6291361.978
United Kingdom,2001,6259007.844
United Kingdom,2002,6153457.531
United Kingdom,2003,6277104.119
United Kingdom,2004,6272090.116
United Kingdom,2005,6226694.786
United Kingdom,2006,6092375.634
United Kingdom,2007,5920136.289
United Kingdom,2008,5902997.171
United Kingdom,2009,5472198.803
United Kingdom,2010,5828837.615
United Kingdom,2011,5266749.389
United Kingdom,2012,5439670.501
United Kingdom,2013,5405702.407
United Kingdom,2014,5130261.611
United Kingdom,2015,5372348.114
United Kingdom,2016,5444122.478
United Kingdom,2017,5433647.571
United Kingdom,2018,5481129.155
United Kingdom,2019,5349418.348
United Kingdom,2020,:
United Kingdom,2021,:
United Kingdom,2022,:
United Kingdom,2023,:
