Country,Year,Expenditure
Czechia,2007,40.5
Czechia,2008,40.9
Czechia,2009,44.5
Czechia,2010,43.2
Czechia,2011,42.8
Czechia,2012,44.4
Czechia,2013,42.4
Czechia,2014,42.3
Czechia,2015,41.7
Czechia,2016,39.4
Czechia,2017,38.5
Czechia,2018,40.1
Czechia,2019,40.4
Czechia,2020,46.3
Czechia,2021,45.0
Czechia,2022,43.0
Czechia,2023,43.9
Denmark,1975,:
Denmark,1976,:
Denmark,1977,:
Denmark,1978,:
Denmark,1979,:
Denmark,1980,:
Denmark,1981,:
Denmark,1982,:
Denmark,1983,:
Denmark,1984,:
Denmark,1985,:
Denmark,1986,:
Denmark,1987,:
Denmark,1988,:
Denmark,1989,:
Denmark,1990,:
Denmark,1991,:
Denmark,1992,:
Denmark,1993,:
Denmark,1994,:
Denmark,1995,58.7
Denmark,1996,58.2
Denmark,1997,56.2
Denmark,1998,55.6
Denmark,1999,54.7
Denmark,2000,52.9
Denmark,2001,53.0
Denmark,2002,53.1
Denmark,2003,53.5
Denmark,2004,52.8
Denmark,2005,51.1
Denmark,2006,49.7
Denmark,2007,49.5
Denmark,2008,50.3
Denmark,2009,56.3
Denmark,2010,56.5
Denmark,2011,56.3
Denmark,2012,57.9
Denmark,2013,55.6
Denmark,2014,55.1
Denmark,2015,54.4
Denmark,2016,52.4
Denmark,2017,50.6
Denmark,2018,50.8
Denmark,2019,49.8
Denmark,2020,53.3
Denmark,2021,49.4
Denmark,2022,44.9
Denmark,2023,46.8
Estonia,1975,:
Estonia,1976,:
Estonia,1977,:
Estonia,1978,:
Estonia,1979,:
Estonia,1980,:
Estonia,1981,:
Estonia,1982,:
Estonia,1983,:
Estonia,1984,:
Estonia,1985,:
Estonia,1986,:
Estonia,1987,:
Estonia,1988,:
Estonia,1989,:
Estonia,1990,:
Estonia,1991,:
Estonia,1992,:
Estonia,1993,:
Estonia,1994,:
Estonia,1995,39.7
Estonia,1996,38.9
Estonia,1997,36.7
Estonia,1998,39.1
Estonia,1999,40.1
Estonia,2000,36.4
Estonia,2001,35.3
Estonia,2002,35.9
Estonia,2003,35.0
Estonia,2004,34.1
Estonia,2005,33.7
Estonia,2006,33.5
Estonia,2007,33.8
Estonia,2008,39.5
Estonia,2009,46.1
Estonia,2010,40.7
Estonia,2011,37.6
Estonia,2012,39.4
Estonia,2013,38.3
Estonia,2014,37.6
Estonia,2015,39.3
Estonia,2016,38.9
Estonia,2017,38.9
Estonia,2018,38.8
Estonia,2019,39.1
Estonia,2020,44.7
Estonia,2021,42.1
Estonia,2022,40.0
Estonia,2023,43.3
Euro area - 19 countries  (2015-2022),1975,:
Euro area - 19 countries  (2015-2022),1976,:
Euro area - 19 countries  (2015-2022),1977,:
Euro area - 19 countries  (2015-2022),1978,:
Euro area - 19 countries  (2015-2022),1979,:
Euro area - 19 countries  (2015-2022),1980,:
Euro area - 19 countries  (2015-2022),1981,:
Euro area - 19 countries  (2015-2022),1982,:
Euro area - 19 countries  (2015-2022),1983,:
Euro area - 19 countries  (2015-2022),1984,:
Euro area - 19 countries  (2015-2022),1985,:
Euro area - 19 countries  (2015-2022),1986,:
Euro area - 19 countries  (2015-2022),1987,:
Euro area - 19 countries  (2015-2022),1988,:
Euro area - 19 countries  (2015-2022),1989,:
Euro area - 19 countries  (2015-2022),1990,:
Euro area - 19 countries  (2015-2022),1991,:
Euro area - 19 countries  (2015-2022),1992,:
Euro area - 19 countries  (2015-2022),1993,:
Euro area - 19 countries  (2015-2022),1994,:
Euro area - 19 countries  (2015-2022),1995,53.3
Euro area - 19 countries  (2015-2022),1996,50.7
Euro area - 19 countries  (2015-2022),1997,49.5
Euro area - 19 countries  (2015-2022),1998,48.5
Euro area - 19 countries  (2015-2022),1999,48.1
Euro area - 19 countries  (2015-2022),2000,47.3
Euro area - 19 countries  (2015-2022),2001,47.3
Euro area - 19 countries  (2015-2022),2002,47.6
Euro area - 19 countries  (2015-2022),2003,47.9
Euro area - 19 countries  (2015-2022),2004,47.3
Euro area - 19 countries  (2015-2022),2005,47.2
Euro area - 19 countries  (2015-2022),2006,46.6
Euro area - 19 countries  (2015-2022),2007,45.9
Euro area - 19 countries  (2015-2022),2008,47.1
Euro area - 19 countries  (2015-2022),2009,51.2
Euro area - 19 countries  (2015-2022),2010,51.1
Euro area - 19 countries  (2015-2022),2011,49.6
Euro area - 19 countries  (2015-2022),2012,50.3
Euro area - 19 countries  (2015-2022),2013,50.3
Euro area - 19 countries  (2015-2022),2014,49.6
Euro area - 19 countries  (2015-2022),2015,48.6
Euro area - 19 countries  (2015-2022),2016,47.9
Euro area - 19 countries  (2015-2022),2017,47.4
Euro area - 19 countries  (2015-2022),2018,47.1
Euro area - 19 countries  (2015-2022),2019,47.0
Euro area - 19 countries  (2015-2022),2020,53.6
Euro area - 19 countries  (2015-2022),2021,52.0
Euro area - 19 countries  (2015-2022),2022,50.0
Euro area - 19 countries  (2015-2022),2023,49.5
Euro area – 20 countries (from 2023),1975,:
Euro area – 20 countries (from 2023),1976,:
Euro area – 20 countries (from 2023),1977,:
Euro area – 20 countries (from 2023),1978,:
Euro area – 20 countries (from 2023),1979,:
Euro area – 20 countries (from 2023),1980,:
Euro area – 20 countries (from 2023),1981,:
Euro area – 20 countries (from 2023),1982,:
Euro area – 20 countries (from 2023),1983,:
Euro area – 20 countries (from 2023),1984,:
Euro area – 20 countries (from 2023),1985,:
Euro area – 20 countries (from 2023),1986,:
Euro area – 20 countries (from 2023),1987,:
Euro area – 20 countries (from 2023),1988,:
Euro area – 20 countries (from 2023),1989,:
Euro area – 20 countries (from 2023),1990,:
Euro area – 20 countries (from 2023),1991,:
Euro area – 20 countries (from 2023),1992,:
Euro area – 20 countries (from 2023),1993,:
Euro area – 20 countries (from 2023),1994,:
Euro area – 20 countries (from 2023),1995,53.3
Euro area – 20 countries (from 2023),1996,50.7
Euro area – 20 countries (from 2023),1997,49.5
Euro area – 20 countries (from 2023),1998,48.6
Euro area – 20 countries (from 2023),1999,48.1
Euro area – 20 countries (from 2023),2000,47.3
