Country,Year,Tax
Estonia,1990,:
Estonia,1991,:
Estonia,1992,:
Estonia,1993,:
Estonia,1994,:
Estonia,1995,35
Estonia,1996,33.9
Estonia,1997,33.6
Estonia,1998,33.7
Estonia,1999,32.4
Estonia,2000,31.1
Estonia,2001,30.4
Estonia,2002,31.1
Estonia,2003,30.9
Estonia,2004,31.1
Estonia,2005,29.9
Estonia,2006,30.5
Estonia,2007,31.1
Estonia,2008,31.5
Estonia,2009,34.9
Estonia,2010,33.2
Estonia,2011,31.4
Estonia,2012,32.0
Estonia,2013,31.8
Estonia,2014,32.4
Estonia,2015,33.5
Estonia,2016,33.7
Estonia,2017,32.8
Estonia,2018,32.8
Estonia,2019,33.2
Estonia,2020,33.4
Estonia,2021,34.1
Estonia,2022,33.1
Estonia,2023,34.0
Euro area - 19 countries  (2015-2022),1990,:
Euro area - 19 countries  (2015-2022),1991,:
Euro area - 19 countries  (2015-2022),1992,:
Euro area - 19 countries  (2015-2022),1993,:
Euro area - 19 countries  (2015-2022),1994,:
Euro area - 19 countries  (2015-2022),1995,40.4
Euro area - 19 countries  (2015-2022),1996,40.9
Euro area - 19 countries  (2015-2022),1997,41.2
Euro area - 19 countries  (2015-2022),1998,41.1
Euro area - 19 countries  (2015-2022),1999,41.5
Euro area - 19 countries  (2015-2022),2000,41.0
Euro area - 19 countries  (2015-2022),2001,40.1
Euro area - 19 countries  (2015-2022),2002,39.8
Euro area - 19 countries  (2015-2022),2003,39.7
Euro area - 19 countries  (2015-2022),2004,39.4
Euro area - 19 countries  (2015-2022),2005,39.6
Euro area - 19 countries  (2015-2022),2006,40.0
Euro area - 19 countries  (2015-2022),2007,40.1
Euro area - 19 countries  (2015-2022),2008,39.7
Euro area - 19 countries  (2015-2022),2009,39.4
Euro area - 19 countries  (2015-2022),2010,39.3
Euro area - 19 countries  (2015-2022),2011,39.7
Euro area - 19 countries  (2015-2022),2012,40.8
Euro area - 19 countries  (2015-2022),2013,41.4
Euro area - 19 countries  (2015-2022),2014,41.4
Euro area - 19 countries  (2015-2022),2015,41.3
Euro area - 19 countries  (2015-2022),2016,41.3
Euro area - 19 countries  (2015-2022),2017,41.4
Euro area - 19 countries  (2015-2022),2018,41.5
Euro area - 19 countries  (2015-2022),2019,41.4
Euro area - 19 countries  (2015-2022),2020,41.6
Euro area - 19 countries  (2015-2022),2021,41.7
Euro area - 19 countries  (2015-2022),2022,41.4
Euro area - 19 countries  (2015-2022),2023,40.6
Euro area – 20 countries (from 2023),1990,:
Euro area – 20 countries (from 2023),1991,:
Euro area – 20 countries (from 2023),1992,:
Euro area – 20 countries (from 2023),1993,:
Euro area – 20 countries (from 2023),1994,:
Euro area – 20 countries (from 2023),1995,40.4
Euro area – 20 countries (from 2023),1996,40.9
Euro area – 20 countries (from 2023),1997,41.2
Euro area – 20 countries (from 2023),1998,41.1
Euro area – 20 countries (from 2023),1999,41.5
Euro area – 20 countries (from 2023),2000,41.0
Euro area – 20 countries (from 2023),2001,40.1
Euro area – 20 countries (from 2023),2002,39.7
Euro area – 20 countries (from 2023),2003,39.7
Euro area – 20 countries (from 2023),2004,39.4
Euro area – 20 countries (from 2023),2005,39.6
Euro area – 20 countries (from 2023),2006,40.0
Euro area – 20 countries (from 2023),2007,40.1
Euro area – 20 countries (from 2023),2008,39.7
Euro area – 20 countries (from 2023),2009,39.4
Euro area – 20 countries (from 2023),2010,39.2
Euro area – 20 countries (from 2023),2011,39.7
Euro area – 20 countries (from 2023),2012,40.8
Euro area – 20 countries (from 2023),2013,41.3
Euro area – 20 countries (from 2023),2014,41.4
Euro area – 20 countries (from 2023),2015,41.2
Euro area – 20 countries (from 2023),2016,41.3
Euro area – 20 countries (from 2023),2017,41.4
Euro area – 20 countries (from 2023),2018,41.5
Euro area – 20 countries (from 2023),2019,41.4
Euro area – 20 countries (from 2023),2020,41.6
Euro area – 20 countries (from 2023),2021,41.7
Euro area – 20 countries (from 2023),2022,41.4
Euro area – 20 countries (from 2023),2023,40.6
European Union - 27 countries (from 2020),1990,:
European Union - 27 countries (from 2020),1991,:
European Union - 27 countries (from 2020),1992,:
European Union - 27 countries (from 2020),1993,:
European Union - 27 countries (from 2020),1994,:
European Union - 27 countries (from 2020),1995,40.6
European Union - 27 countries (from 2020),1996,41.1
European Union - 27 countries (from 2020),1997,41.4
European Union - 27 countries (from 2020),1998,41.2
European Union - 27 countries (from 2020),1999,41.7
European Union - 27 countries (from 2020),2000,41.1
European Union - 27 countries (from 2020),2001,40.2
European Union - 27 countries (from 2020),2002,39.8
European Union - 27 countries (from 2020),2003,39.8
European Union - 27 countries (from 2020),2004,39.5
European Union - 27 countries (from 2020),2005,39.7
European Union - 27 countries (from 2020),2006,40.0
European Union - 27 countries (from 2020),2007,40.1
European Union - 27 countries (from 2020),2008,39.5
European Union - 27 countries (from 2020),2009,39.2
European Union - 27 countries (from 2020),2010,39.0
European Union - 27 countries (from 2020),2011,39.4
European Union - 27 countries (from 2020),2012,40.4
European Union - 27 countries (from 2020),2013,40.9
European Union - 27 countries (from 2020),2014,41.0
European Union - 27 countries (from 2020),2015,40.8
European Union - 27 countries (from 2020),2016,40.9
European Union - 27 countries (from 2020),2017,41.0
European Union - 27 countries (from 2020),2018,41.1
European Union - 27 countries (from 2020),2019,41.0
European Union - 27 countries (from 2020),2020,41.1
European Union - 27 countries (from 2020),2021,41.3
European Union - 27 countries (from 2020),2022,40.7
European Union - 27 countries (from 2020),2023,40.0
Finland,1990,44.4
Finland,1991,45.4
Finland,1992,45
Finland,1993,44.3
Finland,1994,46.5
Finland,1995,45.1
Finland,1996,46.3
Finland,1997,45.5
Finland,1998,45.2
Finland,1999,44.6
Finland,2000,46.0
Finland,2001,43.3
Finland,2002,43.4
Finland,2003,42.5
Finland,2004,41.9
Finland,2005,42.2
Finland,2006,42.2
Finland,2007,41.5
Finland,2008,41.2
Finland,2009,40.9
Finland,2010,40.7
Finland,2011,42.0
Finland,2012,42.7
Finland,2013,43.7
Finland,2014,43.9
Finland,2015,43.9
Finland,2016,44.2
Finland,2017,43.3
Finland,2018,42.8
Finland,2019,42.6
Finland,2020,42.2
Finland,2021,43.6
Finland,2022,43.5
Finland,2023,42.7
France,1990,:
France,1991,:
France,1992,:
France,1993,:
France,1994,:
France,1995,44.1
France,1996,45.3
France,1997,45.4
France,1998,45.4
France,1999,46.1
France,2000,45.2
France,2001,45.1
France,2002,44.4
France,2003,44.3
France,2004,44.4
France,2005,44.7
France,2006,45.1
France,2007,44.6
France,2008,44.5
France,2009,44.1
France,2010,44.2
France,2011,45.3
France,2012,46.5
France,2013,47.4
France,2014,47.6
France,2015,47.7
France,2016,47.7
France,2017,48.5
France,2018,48.3
France,2019,47.3
France,2020,47.4
France,2021,46.9
France,2022,47.6
France,2023,45.6
Germany,1990,:
Germany,1991,:
Germany,1992,:
Germany,1993,:
Germany,1994,:
Germany,1995,40.7
Germany,1996,41
Germany,1997,41
Germany,1998,41.1
Germany,1999,41.8
Germany,2000,41.6
Germany,2001,39.7
Germany,2002,39.3
Germany,2003,39.6
Germany,2004,38.7
Germany,2005,38.7
Germany,2006,38.9
Germany,2007,39.0
Germany,2008,39.4
Germany,2009,39.8
Germany,2010,38.3
Germany,2011,38.8
Germany,2012,39.5
Germany,2013,39.8
Germany,2014,39.7
Germany,2015,40.1
Germany,2016,40.5
Germany,2017,40.7
Germany,2018,41.2
Germany,2019,41.4
Germany,2020,41.3
Germany,2021,42.1
Germany,2022,41.7
Germany,2023,40.3
Greece,1990,:
Greece,1991,:
Greece,1992,:
Greece,1993,:
Greece,1994,:
Greece,1995,30.1
Greece,1996,30.5
Greece,1997,31.8
Greece,1998,33.2
Greece,1999,34.6
Greece,2000,36.2
Greece,2001,34.5
Greece,2002,35.6
Greece,2003,33.9
Greece,2004,32.9
Greece,2005,34.2
Greece,2006,33.2
Greece,2007,34.0
Greece,2008,34.2
Greece,2009,33.4
Greece,2010,34.6
Greece,2011,36.8
Greece,2012,40.3
Greece,2013,39.5
Greece,2014,40.1
Greece,2015,40.4
Greece,2016,42.4
Greece,2017,42.6
Greece,2018,42.8
Greece,2019,41.5
Greece,2020,41.4
Greece,2021,41.5
Greece,2022,42.8
Greece,2023,40.7
Hungary,1990,:
Hungary,1991,:
Hungary,1992,:
Hungary,1993,:
Hungary,1994,:
Hungary,1995,40.3
Hungary,1996,39.3
Hungary,1997,37.8
Hungary,1998,37.8
Hungary,1999,38.5
Hungary,2000,39.3
Hungary,2001,38.1
Hungary,2002,37.5
Hungary,2003,37.4
Hungary,2004,37.0
Hungary,2005,36.6
Hungary,2006,36.5
Hungary,2007,39.4
Hungary,2008,39.5
Hungary,2009,39.0
Hungary,2010,37.0
Hungary,2011,36.5
Hungary,2012,39.1
Hungary,2013,38.6
Hungary,2014,38.5
Hungary,2015,38.8
Hungary,2016,39.1
Hungary,2017,37.9
Hungary,2018,36.8
Hungary,2019,36.2
Hungary,2020,35.8
Hungary,2021,33.7
Hungary,2022,35.1
Hungary,2023,35.1
Iceland,1990,:
Iceland,1991,:
Iceland,1992,:
Iceland,1993,:
Iceland,1994,:
Iceland,1995,:
Iceland,1996,:
Iceland,1997,:
Iceland,1998,33.6
Iceland,1999,35.9
Iceland,2000,35.9
Iceland,2001,34.1
Iceland,2002,33.8
Iceland,2003,35.3
Iceland,2004,36.3
Iceland,2005,39.3
Iceland,2006,39.6
Iceland,2007,38.4
Iceland,2008,34.3
Iceland,2009,31.3
Iceland,2010,32.2
Iceland,2011,33.2
Iceland,2012,34.0
Iceland,2013,34.3
Iceland,2014,37.1
Iceland,2015,35.1
Iceland,2016,50.3
Iceland,2017,37.1
Iceland,2018,36.5
Iceland,2019,35.1
Iceland,2020,36.2
Iceland,2021,34.8
Iceland,2022,35.2
Iceland,2023,36.4
Ireland,1990,:
Ireland,1991,:
Ireland,1992,:
Ireland,1993,:
Ireland,1994,:
Ireland,1995,33.8
Ireland,1996,34
Ireland,1997,33.2
Ireland,1998,32.4
Ireland,1999,32.3
Ireland,2000,32.0
Ireland,2001,29.9
Ireland,2002,29.1
Ireland,2003,29.8
Ireland,2004,30.9
Ireland,2005,31.3
Ireland,2006,32.7
Ireland,2007,32.2
Ireland,2008,30.5
Ireland,2009,29.0
Ireland,2010,28.4
Ireland,2011,28.9
Ireland,2012,29.4
Ireland,2013,29.3
Ireland,2014,29.1
Ireland,2015,23.2
Ireland,2016,24.0
Ireland,2017,22.7
Ireland,2018,22.6
Ireland,2019,22.3
Ireland,2020,20.2
Ireland,2021,20.9
Ireland,2022,21.1
Ireland,2023,22.7
Italy,1990,:
Italy,1991,:
Italy,1992,:
Italy,1993,:
Italy,1994,:
Italy,1995,40.2
Italy,1996,40.7
Italy,1997,42.3
Italy,1998,41.0
Italy,1999,41.1
Italy,2000,40.0
Italy,2001,39.9
Italy,2002,39.6
Italy,2003,39.8
Italy,2004,39.2
Italy,2005,39.0
Italy,2006,40.1
Italy,2007,41.4
Italy,2008,41.3
Italy,2009,41.9
Italy,2010,41.5
Italy,2011,41.4
Italy,2012,43.3
Italy,2013,43.5
Italy,2014,43.2
Italy,2015,43.2
Italy,2016,42.3
Italy,2017,42.1
Italy,2018,41.8
Italy,2019,42.5
Italy,2020,42.9
Italy,2021,42.5
Italy,2022,41.9
Italy,2023,41.7
Latvia,1990,:
Latvia,1991,:
Latvia,1992,:
Latvia,1993,:
Latvia,1994,:
Latvia,1995,31.5
Latvia,1996,30.3
Latvia,1997,31.7
Latvia,1998,32.8
Latvia,1999,32.2
Latvia,2000,30.2
Latvia,2001,29.3
Latvia,2002,28.9
Latvia,2003,28.9
Latvia,2004,28.9
Latvia,2005,29.2
Latvia,2006,30.4
Latvia,2007,30.0
Latvia,2008,29.7
Latvia,2009,28.6
Latvia,2010,29.1
Latvia,2011,30.4
Latvia,2012,30.5
Latvia,2013,30.8
Latvia,2014,31.2
Latvia,2015,31.2
Latvia,2016,32.2
Latvia,2017,32.7
Latvia,2018,32.1
Latvia,2019,33.0
Latvia,2020,32.9
Latvia,2021,32.5
Latvia,2022,33.2
Latvia,2023,33.4
Lithuania,1990,:
Lithuania,1991,:
Lithuania,1992,:
Lithuania,1993,:
Lithuania,1994,:
Lithuania,1995,27.5
Lithuania,1996,27.1
Lithuania,1997,31.1
Lithuania,1998,32.6
Lithuania,1999,32.5
Lithuania,2000,30.8
Lithuania,2001,29.3
Lithuania,2002,29.0
Lithuania,2003,28.6
Lithuania,2004,29.2
Lithuania,2005,29.5
Lithuania,2006,30.5
Lithuania,2007,30.4
Lithuania,2008,30.9
Lithuania,2009,30.6
Lithuania,2010,29.1
Lithuania,2011,27.8
Lithuania,2012,27.5
Lithuania,2013,27.5
Lithuania,2014,28.1
Lithuania,2015,29.3
Lithuania,2016,30.2
Lithuania,2017,29.9
Lithuania,2018,30.2
Lithuania,2019,30.6
Lithuania,2020,31.6
Lithuania,2021,32.3
Lithuania,2022,32.0
Lithuania,2023,32.4
Luxembourg,1990,:
Luxembourg,1991,:
Luxembourg,1992,:
Luxembourg,1993,:
Luxembourg,1994,:
Luxembourg,1995,38.7
Luxembourg,1996,38.7
Luxembourg,1997,38.9
Luxembourg,1998,39.5
Luxembourg,1999,38.6
Luxembourg,2000,38.7
Luxembourg,2001,38.9
Luxembourg,2002,38.9
Luxembourg,2003,39.0
Luxembourg,2004,37.7
Luxembourg,2005,38.9
Luxembourg,2006,36.7
Luxembourg,2007,37.1
Luxembourg,2008,36.3
Luxembourg,2009,37.7
Luxembourg,2010,37.0
Luxembourg,2011,37.5
Luxembourg,2012,37.8
Luxembourg,2013,37.6
Luxembourg,2014,37.5
Luxembourg,2015,36.2
Luxembourg,2016,36.9
Luxembourg,2017,38.1
Luxembourg,2018,41.1
Luxembourg,2019,41.4
Luxembourg,2020,40.2
Luxembourg,2021,40.0
Luxembourg,2022,40.2
Luxembourg,2023,42.8
Malta,1990,:
Malta,1991,:
Malta,1992,:
Malta,1993,:
Malta,1994,:
Malta,1995,27.5
Malta,1996,25.5
Malta,1997,27.7
Malta,1998,25.5
Malta,1999,27.8
Malta,2000,28.4
Malta,2001,30.0
Malta,2002,30.8
Malta,2003,30.8
Malta,2004,31.1
Malta,2005,33.0
Malta,2006,33.3
Malta,2007,34.0
Malta,2008,32.8
Malta,2009,33.0
Malta,2010,32.0
Malta,2011,32.5
Malta,2012,32.3
Malta,2013,31.8
Malta,2014,32.0
Malta,2015,30.4
Malta,2016,32.4
Malta,2017,31.8
Malta,2018,31.2
Malta,2019,30.8
Malta,2020,28.5
Malta,2021,28.1
Malta,2022,28.3
Malta,2023,27.1
Netherlands,1990,:
Netherlands,1991,:
Netherlands,1992,:
Netherlands,1993,:
Netherlands,1994,:
Netherlands,1995,38.9
Netherlands,1996,38.9
Netherlands,1997,38.1
Netherlands,1998,37.7
Netherlands,1999,38.6
Netherlands,2000,38.2
Netherlands,2001,37.0
Netherlands,2002,36.5
Netherlands,2003,36.3
Netherlands,2004,36.3
Netherlands,2005,36.5
Netherlands,2006,37.2
Netherlands,2007,36.6
Netherlands,2008,37.0
Netherlands,2009,36.3
Netherlands,2010,36.7
Netherlands,2011,36.6
Netherlands,2012,36.7
Netherlands,2013,37.3
Netherlands,2014,38.1
Netherlands,2015,37.9
Netherlands,2016,39.1
Netherlands,2017,39.3
Netherlands,2018,39.4
Netherlands,2019,39.6
Netherlands,2020,40.2
Netherlands,2021,39.7
Netherlands,2022,38.7
Netherlands,2023,39.1
Norway,1990,:
Norway,1991,:
Norway,1992,:
Norway,1993,:
Norway,1994,:
Norway,1995,40.7
Norway,1996,41.1
Norway,1997,41
Norway,1998,41.1
Norway,1999,41.5
Norway,2000,41.9
Norway,2001,42.1
Norway,2002,42.4
Norway,2003,41.7
Norway,2004,42.4
Norway,2005,42.6
Norway,2006,42.8
Norway,2007,42.1
Norway,2008,41.3
Norway,2009,41.2
Norway,2010,41.9
Norway,2011,41.9
Norway,2012,41.4
Norway,2013,39.9
Norway,2014,38.8
Norway,2015,38.5
Norway,2016,39.0
Norway,2017,38.8
Norway,2018,39.4
Norway,2019,40.0
Norway,2020,38.9
Norway,2021,41.5
Norway,2022,43.6
Norway,2023,41.6
Poland,1990,:
Poland,1991,:
Poland,1992,:
Poland,1993,:
Poland,1994,:
Poland,1995,37.4
Poland,1996,37.3
Poland,1997,36.9
Poland,1998,36.1
Poland,1999,35.7
Poland,2000,33.7
Poland,2001,33.7
Poland,2002,33.9
Poland,2003,33.4
Poland,2004,32.8
Poland,2005,33.9
Poland,2006,34.5
Poland,2007,35.5
Poland,2008,35.1
Poland,2009,32.2
Poland,2010,32.4
Poland,2011,32.8
Poland,2012,33.1
Poland,2013,33.3
Poland,2014,33.1
Poland,2015,33.2
Poland,2016,34.3
Poland,2017,34.9
Poland,2018,35.6
Poland,2019,35.6
Poland,2020,36.0
Poland,2021,37.2
Poland,2022,34.9
Poland,2023,36.0
Portugal,1990,:
Portugal,1991,:
Portugal,1992,:
Portugal,1993,:
Portugal,1994,:
Portugal,1995,31.4
Portugal,1996,32.1
Portugal,1997,32.1
Portugal,1998,32.6
Portugal,1999,33.2
Portugal,2000,33.5
Portugal,2001,33.2
Portugal,2002,33.9
Portugal,2003,33.1
Portugal,2004,33.5
Portugal,2005,34.4
Portugal,2006,34.9
Portugal,2007,35.1
Portugal,2008,35.0
Portugal,2009,33.4
Portugal,2010,33.7
Portugal,2011,35.4
Portugal,2012,34.4
Portugal,2013,37.1
Portugal,2014,37.0
Portugal,2015,37.0
Portugal,2016,36.7
Portugal,2017,36.7
Portugal,2018,37.0
Portugal,2019,36.8
Portugal,2020,37.5
Portugal,2021,37.4
Portugal,2022,37.9
Portugal,2023,37.6
Romania,1990,:
Romania,1991,:
Romania,1992,:
Romania,1993,:
Romania,1994,:
Romania,1995,27.8
Romania,1996,26.1
Romania,1997,26.6
Romania,1998,29.3
Romania,1999,31.4
Romania,2000,30.6
Romania,2001,29.0
Romania,2002,28.5
Romania,2003,28.9
Romania,2004,28.1
Romania,2005,28.7
Romania,2006,29.3
Romania,2007,29.0
Romania,2008,27.4
Romania,2009,25.9
Romania,2010,26.5
Romania,2011,27.0
Romania,2012,26.6
Romania,2013,27.5
Romania,2014,27.5
Romania,2015,28.0
Romania,2016,27.1
Romania,2017,26.0
Romania,2018,26.6
Romania,2019,26.6
Romania,2020,26.9
Romania,2021,27.1
Romania,2022,27.8
Romania,2023,27.0
Slovakia,1990,:
Slovakia,1991,:
Slovakia,1992,:
Slovakia,1993,:
Slovakia,1994,:
Slovakia,1995,39.2
Slovakia,1996,38.4
Slovakia,1997,36.6
Slovakia,1998,36.3
Slovakia,1999,35.1
Slovakia,2000,34.0
Slovakia,2001,33.0
Slovakia,2002,33.1
Slovakia,2003,33.1
Slovakia,2004,32.0
Slovakia,2005,31.7
Slovakia,2006,29.5
Slovakia,2007,29.4
Slovakia,2008,29.2
Slovakia,2009,29.1
Slovakia,2010,28.1
Slovakia,2011,29.2
Slovakia,2012,28.9
Slovakia,2013,31.1
Slovakia,2014,32.0
Slovakia,2015,32.6
Slovakia,2016,33.1
Slovakia,2017,34.0
Slovakia,2018,34.0
Slovakia,2019,34.6
Slovakia,2020,34.6
Slovakia,2021,35.0
Slovakia,2022,35.3
Slovakia,2023,35.5
Slovenia,1990,:
Slovenia,1991,:
Slovenia,1992,:
Slovenia,1993,:
Slovenia,1994,:
Slovenia,1995,39.3
Slovenia,1996,38.4
Slovenia,1997,37.3
Slovenia,1998,38.1
Slovenia,1999,38.5
Slovenia,2000,38.1
Slovenia,2001,38.3
Slovenia,2002,38.9
Slovenia,2003,39.0
Slovenia,2004,39.0
Slovenia,2005,39.7
Slovenia,2006,39.1
Slovenia,2007,38.4
Slovenia,2008,37.9
Slovenia,2009,38.2
Slovenia,2010,38.9
Slovenia,2011,38.4
Slovenia,2012,38.7
Slovenia,2013,38.6
Slovenia,2014,38.5
Slovenia,2015,38.7
Slovenia,2016,38.7
Slovenia,2017,38.4
Slovenia,2018,38.6
Slovenia,2019,38.4
Slovenia,2020,38.4
Slovenia,2021,39.1
Slovenia,2022,38.1
Slovenia,2023,36.9
Spain,1990,:
Spain,1991,:
Spain,1992,:
Spain,1993,:
Spain,1994,:
Spain,1995,32.3
Spain,1996,32
Spain,1997,32.9
Spain,1998,33.7
Spain,1999,34.1
Spain,2000,34.0
Spain,2001,33.7
Spain,2002,34.1
Spain,2003,33.9
Spain,2004,34.9
Spain,2005,36.1
Spain,2006,36.8
Spain,2007,37.2
Spain,2008,32.9
Spain,2009,30.5
Spain,2010,32.1
Spain,2011,32.0
Spain,2012,33.2
Spain,2013,34.0
Spain,2014,34.5
Spain,2015,34.4
Spain,2016,34.1
Spain,2017,34.4
Spain,2018,35.2
Spain,2019,35.2
Spain,2020,37.3
Spain,2021,38.1
Spain,2022,37.5
Spain,2023,37.0
Sweden,1990,:
Sweden,1991,:
Sweden,1992,:
Sweden,1993,:
Sweden,1994,:
Sweden,1995,46.4
Sweden,1996,48.4
Sweden,1997,48.6
Sweden,1998,48.7
Sweden,1999,49.1
Sweden,2000,49.0
Sweden,2001,47.0
Sweden,2002,45.3
Sweden,2003,45.8
Sweden,2004,46.1
Sweden,2005,47.1
Sweden,2006,46.4
Sweden,2007,45.5
Sweden,2008,44.8
Sweden,2009,44.5
Sweden,2010,43.7
Sweden,2011,42.8
Sweden,2012,42.9
Sweden,2013,43.3
Sweden,2014,43.1
Sweden,2015,43.5
Sweden,2016,44.8
Sweden,2017,45.1
Sweden,2018,44.8
Sweden,2019,43.7
Sweden,2020,43.3
Sweden,2021,43.5
Sweden,2022,43.2
Sweden,2023,42.1
Switzerland,1990,:
Switzerland,1991,:
Switzerland,1992,:
Switzerland,1993,:
Switzerland,1994,:
Switzerland,1995,25.1
Switzerland,1996,25.6
Switzerland,1997,25.2
Switzerland,1998,26.0
Switzerland,1999,26.2
Switzerland,2000,27.1
Switzerland,2001,26.5
Switzerland,2002,27.0
Switzerland,2003,26.4
Switzerland,2004,26.1
Switzerland,2005,26.0
Switzerland,2006,25.8
Switzerland,2007,25.6
Switzerland,2008,26.0
