Country,ED_Coeff,Expenditure_Coeff,Irate_Coeff,Population_Coeff,Tax_Coeff,Trade_Coeff,First_sector_Inv_Coeff,Test_Score
Austria,75.495500029266,-388.37414094924605,-254.99261838544973,38.853235031539114,-356.30600174338934,271.2859962281213,166.52119816109231,0.39550744789518266
Belgium,-12.373038190945257,69.79959339491617,-315.5051738090356,58.27251177518668,-146.16456079075962,-261.7852340869703,221.4299356470326,0.7027891454461033
Croatia,28.54572367498654,-186.67770476334906,227.99526181937196,13.405799766835123,-271.03525265211437,-88.4744589367768,13.108589963051553,0.1984858579059492
Cyprus,0.1579281012320127,-8.013342340363069,34.095878129302605,-2.1824551061478155,-71.88667041058368,-4.458777373579037,-11.739201466291297,0.5347314751733767
Denmark,138.44316315906426,-618.5355328053201,737.8100947664769,-77.11393187876459,1407.3499085668966,-1091.0809296554419,1020.2626846488417,0.40718340751008486
Estonia,3.0996517611918692,-62.33416666111594,-118.99646896279364,-2.046274229632551,-76.03220297646983,6.727718258906963,29.472276276364482,0.055320855296168814
Finland,-7.595312075425739,176.83708157034093,-322.84006418768666,29.733431716838346,-394.1794512440971,-404.7824764575545,-190.9952611065942,0.6833755067719576
France,-1.9495857882903955,-1264.1348490777987,-1047.5468471422062,368.1217691185934,62.02943909128533,14.137946798986569,767.8596084412541,-0.19903596376084232
Germany,-1715.8773146292901,625.2356437303439,285.146872658613,-167.87920541734582,246.45373874058555,-604.0319134036307,-1164.539044285197,-2.5482858844019978
Greece,227.39460793567548,-292.5405516125724,-392.9863908809698,43.71498342719311,-847.0626897833453,-570.2417846778566,-519.3945980339363,0.5361013366399049
Ireland,-45.43796967015115,-145.19289910195212,291.72337942056964,1.4683367377988124,-414.63434357354447,222.19517053195761,-196.9940056736958,0.8314416649179757
Italy,538.6149397768587,-2234.0609030434853,-538.7094653614994,-162.9780288087824,-408.9631621974083,58.415626969069116,-29.492161732490196,-2.1914205724505
Latvia,7.81553904204681,55.077455156601566,-152.9478993377959,-11.75294840776004,28.87314193350551,-30.018209810808315,89.96392982188206,0.9070700556293136
Lithuania,10.492955108737146,55.228510278167334,-79.01730600217996,-10.172928156125618,30.548656951573268,54.894882851555934,22.13029366790841,0.35867783122065544
Luxembourg,-2.3594501397144287,-16.499706275328364,33.403822774339474,-1.0655786510484075,12.301886304803594,-69.50455843658281,-8.1810692309689,0.5654963465138444
Netherlands,606.8904230083651,1085.1101549147054,-202.19864098254857,-139.1831038154458,-1144.3939563464755,-2015.7271179278687,1524.2633463294549,0.651846418791052
Portugal,-0.7998031040837669,-91.86306018044722,46.86523239233835,-5.223279495723623,-175.3642186741676,-36.09800632504801,-10.121181753358783,-0.48567168392930493
Slovakia,-29.3653106169339,-112.83743729037643,-259.0322620948448,3.015480238420708,136.92107576714037,137.10112094800442,67.82796094688126,0.5709743769333266
Slovenia,0.830921788597122,-58.923115333883565,-21.401811952849837,-0.09922480190184453,9.618314876424593,1.1616424241733312,3.4316651262424798,-0.5719971033662559
Spain,1073.3248497541626,-980.6004056999742,-1723.4208309567407,1117.539701000643,1352.5806799454886,469.7975826985599,1873.7851754946148,0.5605639014432566
