Inflation,Population,Export,Import,GDP
0.9810151355448822,1412360000.0,147.96052106000002,160.9923571914594,18021458000000.0
0.9810151355448822,1412360000.0,145.6298890185171,163.71068555181435,18550960000000.0
-3.5068324885192137,1412360000.0,147.96052106000002,160.07906213500002,18190172000000.0
-2.080288307862025,1412360000.0,149.35639719458126,160.07906213500002,18028641000000.0
-2.2245503014480157,1412360000.0,146.3035249981271,160.07906213500002,18175343000000.0
-1.9167878167077594,1412360000.0,145.83539207698615,160.07906213500002,18174936000000.0
0.9810151355448822,1412360000.0,147.96052106000002,161.0642002440382,18032695000000.0
-3.3613865625892245,1412360000.0,147.96052106000002,160.07906213500002,18180074000000.0
0.9810151355448822,1412360000.0,147.96052106000002,161.86784753799571,18158388000000.0
-1.5919595837387641,1412360000.0,146.69364764991556,160.07906213500002,18113960000000.0
