Country Code,Year,Inflation,Population,GDP,Export,Import
DOM,2004,51.4608598338065,9104892.0,22322387382.494022,62.8693681515,46.656611352
DOM,2005,4.19020260472056,9225034.0,35777560683.93658,65.0829291255,58.3739981817
DOM,2006,7.57280523853074,9341183.0,37879830084.26267,70.0052320458,72.0072161707
DOM,2007,6.14356655248047,9455658.0,43965458508.50559,75.8351161774,80.4246887137
DOM,2008,10.6446210953712,9573130.0,48122601530.3324,71.4641276068,94.5961612317
DOM,2009,1.44215131834353,9695265.0,48261078913.72663,58.0704950381,72.728832119
DOM,2010,6.32993220146146,9820175.0,53860187257.959335,71.5296765596,91.6162422301
DOM,2011,5.79676809206533,9945621.0,58029773599.45505,89.941536605,102.969272178
DOM,2012,3.69449707884777,10070411.0,60681535652.53735,96.0526594526,104.9265075242
DOM,2013,4.830950967408,10193833.0,62682159338.03544,102.2167383258,99.801851363
DOM,2014,2.99864226125219,10315528.0,67179955677.27914,104.8412379157,102.1695797479
DOM,2015,0.836746346724557,10434829.0,71164826836.5281,100.0,100.0
DOM,2016,1.61416607245223,10551430.0,75704647877.65591,104.2131796918,102.9107148166
DOM,2017,3.27955694678546,10666843.0,79998046305.79002,107.3375839307,104.8963416362
DOM,2018,3.56443426013508,10782053.0,85555390139.11797,112.6702535776,119.4647028809
DOM,2019,1.81060377042959,10894043.0,88941372558.23965,118.5441335687,119.8817022931
DOM,2020,3.78103179915517,11008300.0,78844656298.17764,109.1094918475,101.1741046041
DOM,2021,8.24300347981809,11123476.0,94243425938.36469,131.9875447809,142.8042468726
DZA,1980,9.51782449754963,18607174.0,42345829079.206245,40.7156116959,20.3562187538
DZA,1981,14.6548426360634,19220704.0,44348590460.92876,42.2566466755,21.7905427193
DZA,1982,6.54250963007673,19872348.0,45207167470.34967,38.6579630964,20.7321504463
DZA,1983,5.9671639303272,20558115.0,48801369800.36752,37.2871757945,20.0477619904
DZA,1984,8.116397955171,21271969.0,53698548293.07447,37.5807062632,19.8337701102
DZA,1985,10.4822870444467,22008544.0,57937868670.193726,37.7509539345,18.9720190163
DZA,1986,12.3716091651299,22745499.0,63692007897.38336,24.230940418,17.7902440309
DZA,1987,7.44126091287247,23443624.0,66745818375.492966,27.7973356479,13.575953448
DZA,1988,5.91154496373489,24109536.0,59089396860.43423,24.7416834383,14.8252033537
DZA,1989,9.30436125843166,24754485.0,55634721572.73428,30.0046847943,18.2567848912
DZA,1990,16.6525343885432,25375810.0,62048507531.33572,43.1695264434,18.8544198768
DZA,1991,25.8863869348513,25987928.0,45715676428.2766,39.0777116686,20.8015532154
DZA,1992,31.6696619117149,26628568.0,48003133346.995735,35.6551463732,22.0951437674
DZA,1993,20.5403261235827,27277048.0,49945584452.65057,31.8891504227,22.2647949925
DZA,1994,29.0476561173071,27887279.0,42543176828.923744,29.1945406929,22.9723177047
DZA,1995,29.7796264864999,28470191.0,41764291671.77111,29.5898234656,19.5350276499
DZA,1996,18.6790758601749,29033044.0,46941554225.35815,38.2196838586,17.581524892
DZA,1997,5.73352275357187,29579301.0,48177612042.15065,40.0776610134,16.8046813505
DZA,1998,4.95016163793114,30054133.0,48187781984.48805,29.4479058517,18.1811148464
DZA,1999,2.64551113392799,30474354.0,48640671734.97112,36.1292160821,17.7207844942
DZA,2000,0.339163189071768,30903893.0,54790398570.328224,63.5493470753,17.7381919452
DZA,2001,4.22598834854673,31331221.0,59413400923.63635,55.1892234936,19.2255618673
DZA,2002,1.41830192345051,31750835.0,61516103406.16878,54.225799009,23.1505551017
DZA,2003,4.268953958395,32175818.0,73482264190.92455,66.8137763724,23.9456887484
DZA,2004,3.96180030257187,32628286.0,91913680985.17082,90.2965270364,35.1410003388
DZA,2005,1.38244656662118,33109249.0,107046618669.707,132.6941271614,39.3737186184
DZA,2006,2.31149918514424,33623506.0,123084258693.00974,157.5314411189,41.4993617239
DZA,2007,3.67899574741699,34189416.0,142482739809.84927,173.5409022567,53.4428068542
DZA,2008,4.85859062814939,34816961.0,180383848331.13455,228.7354332584,76.3587482036
DZA,2009,5.73706036145628,35490445.0,150317292079.35913,130.3047479071,76.0009283936
