Country Code,Year,Import
AGO,2018,76.3456262388
AGO,2019,68.2712707677
AGO,2020,46.1187527342
AGO,2021,57.0004923535
AGO,2022,
AGO,2023,
ALB,1960,
ALB,1961,
ALB,1962,
ALB,1963,
ALB,1964,
ALB,1965,
ALB,1966,
ALB,1967,
ALB,1968,
ALB,1969,
ALB,1970,
ALB,1971,
ALB,1972,
ALB,1973,
ALB,1974,
ALB,1975,
ALB,1976,
ALB,1977,
ALB,1978,
ALB,1979,
ALB,1980,
ALB,1981,
ALB,1982,
ALB,1983,
ALB,1984,
ALB,1985,
ALB,1986,
ALB,1987,
ALB,1988,
ALB,1989,
ALB,1990,
ALB,1991,
ALB,1992,
ALB,1993,
ALB,1994,
ALB,1995,16.584904926
ALB,1996,21.8141434323
ALB,1997,15.0199044364
ALB,1998,19.2662022322
ALB,1999,26.4868586536
ALB,2000,25.3555694158
ALB,2001,30.8430312064
ALB,2002,34.9525841065
ALB,2003,43.3299820387
ALB,2004,53.6705747666
ALB,2005,60.8529946825
ALB,2006,71.0803887638
ALB,2007,97.3348066498
ALB,2008,122.0453529208
ALB,2009,105.7612496064
ALB,2010,102.4120104843
ALB,2011,125.4169295896
ALB,2012,113.4840013467
ALB,2013,113.9491460221
ALB,2014,121.3849161253
ALB,2015,100.0
ALB,2016,107.2351623148
ALB,2017,122.5107716139
ALB,2018,137.7252513734
ALB,2019,137.0602392415
ALB,2020,129.4644556672
ALB,2021,179.3997350438
ALB,2022,
ALB,2023,
AND,1960,
AND,1961,
AND,1962,
AND,1963,
AND,1964,
AND,1965,
AND,1966,
AND,1967,
AND,1968,
AND,1969,
AND,1970,
AND,1971,
AND,1972,
AND,1973,
AND,1974,
AND,1975,
AND,1976,
AND,1977,
AND,1978,
AND,1979,
AND,1980,
AND,1981,
AND,1982,
AND,1983,
AND,1984,
AND,1985,
AND,1986,
AND,1987,
AND,1988,
AND,1989,
AND,1990,
AND,1991,
AND,1992,
AND,1993,
AND,1994,
AND,1995,79.2640231448
AND,1996,82.037182121
AND,1997,82.0320225659
AND,1998,82.251781379
AND,1999,83.3760926484
AND,2000,78.2189269986
AND,2001,80.5459852091
AND,2002,92.7202536338
AND,2003,116.9555100004
AND,2004,136.1732507558
AND,2005,139.2793535226
AND,2006,138.1877244674
AND,2007,148.8510308396
AND,2008,149.9459232666
AND,2009,124.4527152304
AND,2010,119.0726892306
AND,2011,125.0386384291
AND,2012,109.5830451865
AND,2013,114.9519379736
AND,2014,120.274015012
AND,2015,100.0
AND,2016,104.6641878119
AND,2017,114.2639368067
AND,2018,124.3973468678
AND,2019,121.1135866254
AND,2020,112.0558814193
AND,2021,140.8750025816
AND,2022,
AND,2023,
ARB,1960,
ARB,1961,
ARB,1962,
ARB,1963,
ARB,1964,
ARB,1965,
ARB,1966,
ARB,1967,
ARB,1968,
ARB,1969,
ARB,1970,
ARB,1971,
ARB,1972,
ARB,1973,
ARB,1974,
ARB,1975,
ARB,1976,
ARB,1977,
ARB,1978,
ARB,1979,
ARB,1980,
ARB,1981,
ARB,1982,
ARB,1983,
ARB,1984,
ARB,1985,
ARB,1986,
ARB,1987,
ARB,1988,
ARB,1989,
ARB,1990,
ARB,1991,
ARB,1992,
ARB,1993,
ARB,1994,
ARB,1995,
ARB,1996,
ARB,1997,
ARB,1998,
ARB,1999,
