Country,ED,Expenditure,Irate,Population,Tax,Trade,First_sector_Inv,DBSCAN_Cluster
Austria,1088627.2530999999,52.452870743609985,2.4473866666666666,8373546.766666667,43.55286455414786,6901.05903468304,2666.4637413552623,0
Belgium,1671857.3517,52.45947882803278,2.4473866666666666,10796793.166666666,46.29639529089475,5721.965355962278,1088.9880400483453,0
Croatia,296660.5658333333,49.55111176007758,2.4473866666666666,4266619.166666667,38.31081472328436,-1752.3218986733077,318.22607494300934,1
Cyprus,63786.5257,40.94467954477461,2.4473866666666666,782345.6,32.77260988219391,-69.12894297492815,117.86750049729542,1
Denmark,599985.2793333333,53.25878438611514,2.565178220546839,5524216.7,47.39313057415024,14232.283333333333,2544.50749877613,-1
Estonia,123417.74560000001,38.516095849882525,2.4473866666666666,1358179.4,32.56502506203324,-49.76484073292101,262.0589765411307,1
Finland,1039295.5509333333,53.24333333333333,2.4473866666666666,5325757.1,43.336666666666666,4295.71,2085.8733333333334,0
France,6572799.7125,56.107616607738755,2.4473866666666666,63844877.56666667,45.83931530759055,-1769.906666666667,13707.640000000001,-1
Germany,9574624.827,47.42804889821917,2.4473866666666666,82074453.36666666,40.22079779237359,120353.03,11287.794790372673,-1
Greece,740350.5239,50.47520536739626,2.4473866666666666,10820433.366666667,36.657863715188746,-12017.514275642594,1826.4494721379524,1
Ireland,443081.55356666667,34.203244490334406,2.4473866666666666,4349493.8,28.40785114856483,45632.202438079665,1355.7169986813537,-1
Italy,5220548.669366667,49.62430192903925,2.4473866666666666,58590526.56666667,41.391093150627576,20389.161719251373,11022.262863201011,-1
Latvia,162442.63023333333,39.855714058641745,2.4473866666666666,2167780.1666666665,30.969420214100115,-1024.9652254889427,348.0059820207598,1
Lithuania,234487.88616666666,37.34778628939865,2.4473866666666666,3197207.3666666667,29.87616009835113,-293.4357322345348,498.09738242277575,1
Luxembourg,146724.9234,41.64996350357599,2.4473866666666666,507523.56666666665,38.57976695765629,12172.243206798961,169.10304351816802,-1
Netherlands,2437064.995,45.731998578360646,2.4473866666666666,16493882.633333333,37.90796928559395,55687.08308516521,6903.6331452912145,-1
Portugal,754894.9413666667,45.66285072990429,2.4473866666666666,10370567.3,34.83267433538321,-6861.303592401852,1199.1568114272147,1
Slovakia,474748.3575,43.37512301601638,2.4473866666666666,5399080.633333334,33.21882328994631,-213.94502339620706,654.0780885281218,1
Slovenia,206938.6161,48.08518428193526,2.4473866666666666,2032633.2,38.51299224485899,1076.910277240593,335.0323820992269,1
Spain,3583734.995533333,42.79926501411972,2.4473866666666666,44208263.13333333,34.34555396667496,812.8928906734815,5219.42922512882,-1
