Country,Best Alpha,Train R²,Test R²,Train MSE,Test MSE
Austria,8.497534359086455,0.876528175583569,0.3895931053723263,31151.29957817323,144731.4464304158
Belgium,4.862601580065354,0.8956483483015675,0.7091175244267252,24358.80027637786,37233.78750444832
Croatia,0.14174741629268062,0.9484615612844534,0.7122353060712281,4307.365774066509,36235.779243486504
Cyprus,0.521400828799969,0.9028410724798203,0.770069368912603,1085.7770136027325,3093.003231821607
Denmark,0.521400828799969,0.7670768277929673,0.660211431596285,624893.9186397309,1100695.5056154507
Estonia,12.328467394420684,0.76965210069223,0.2512078266440516,8747.963969245147,14242.083342864882
Finland,4.037017258596558,0.7994282993309443,0.779251040773318,66495.0883431961,91776.00229051983
France,31.257158496882415,0.2504585713433758,-0.005121475448768731,2367923.3345643794,5586269.3638735525
Germany,45.34878508128591,0.34463520782607815,0.07346119529892914,3753657.490781315,3202528.167897635
Greece,2.310129700083163,0.8138592543846666,0.5544196005695936,158823.61603786875,294390.76439483784
Ireland,7.054802310718645,0.7249419830372594,0.7857653645453373,115245.92857401607,136152.18319316086
Italy,5.857020818056673,0.6704137187820376,-0.664052868814258,664041.433450606,1815422.8648521786
Latvia,2.782559402207126,0.9407492524530802,0.7625794159533763,3053.381530573697,5615.606192201707
Lithuania,0.06734150657750829,0.7891619807504083,0.2011481699445713,4412.699400947252,16886.959014388613
Luxembourg,2.310129700083163,0.9111058050861731,0.7177482640779482,364.0486484991675,826.9524259738643
Netherlands,1.0974987654930568,0.8794521097860217,0.7827482343536424,382200.8835069216,717467.9579672372
Portugal,12.328467394420684,0.6796630919614934,0.15707272046081666,10602.054589223646,15707.163954605889
Slovakia,7.054802310718645,0.8096697217424397,0.5620641405871284,31409.461588777827,59650.75876160949
Slovenia,25.950242113997373,0.3588019440002317,0.07962270073307776,1839.2597682097742,3987.2892151274687
Spain,10.235310218990268,0.796423952661229,0.5750828149602574,1839414.0468119343,2631339.715491823
