Feature,Coefficient
ED,-6734.9716265506295
Expenditure,-481.686387087268
Irate,164.17804186199658
Population,11088.235732753681
Tax,162.12220456654617
Trade,-828.5508593095835
First_sector_Inv,8381.699747887847
