Feature,Coefficient
ED,-1625.7314607632673
Expenditure,-425.84540306028896
Irate,-465.6573300593598
Population,5807.464192794721
Tax,15.375969408206457
Trade,180.6401540626837
First_sector_Inv,1513.9727202625502
