Feature,Coefficient
ED,-4255.6524226878755
Expenditure,418.31782538967224
Irate,234.64017045250242
Population,6557.280410537201
Tax,-352.5638808426985
Trade,-239.7543167909754
First_sector_Inv,10403.222188021557
